Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,09/11/2018 18:45,FALSE,Wokingham Running,5.01,526,00:37:12,146,175,3.4,155,167,07:26,06:06,8,8,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,07/11/2018 18:08,FALSE,Wokingham Running,5,589,00:36:48,161,176,3.9,155,165,07:21,05:48,8,7,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,02/11/2018 11:20,FALSE,La Oliva Running,5,691,00:45:31,149,167,3.4,148,163,09:06,05:30,1,5,0.74,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,30/10/2018 07:53,FALSE,Wokingham Running,5.01,285,00:39:29,110,145,1.9,155,163,07:53,06:07,6,5,0.82,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,29/10/2018 18:48,FALSE,Wokingham Running,5.01,249,00:37:42,104,141,1.2,154,163,07:32,06:06,8,7,0.86,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,27/10/2018 09:03,FALSE,Wokingham Running,10.01,"1,229",01:16:19,158,169,4.7,156,168,07:38,06:11,16,15,0.84,0,0,0,0,0,00:00,0,00:00,No,00:00.0,11,0
running,24/10/2018 19:12,FALSE,Wokingham Running,5.01,557,00:36:45,150,173,3.4,155,168,07:21,05:54,4,5,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,22/10/2018 18:33,FALSE,Wokingham Running,5.01,609,00:36:48,163,179,3.8,154,163,07:21,06:11,8,8,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,20/10/2018 09:01,FALSE,Wokingham Running,5.01,600,00:35:40,164,179,4,157,171,07:08,05:41,9,8,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,18/10/2018 17:55,FALSE,Wokingham Running,5.01,418,00:36:55,130,149,2.3,155,167,07:22,06:00,10,9,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,16/10/2018 09:26,TRUE,Wokingham Running,5.01,451,00:36:02,140,168,3.1,156,167,07:12,05:44,7,7,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,13/10/2018 12:17,FALSE,Wokingham Running,5,548,00:37:12,156,172,3.8,155,165,07:26,05:42,8,7,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,11/10/2018 18:08,FALSE,Wokingham Running,5.01,530,00:36:57,153,168,3.6,154,166,07:23,06:08,8,7,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,09/10/2018 18:54,FALSE,Wokingham Running,5,545,00:37:27,158,176,3.6,154,165,07:29,05:33,9,9,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
